x	y
-128	-101
-41	-142
-113	-100
-37	-139
-115	-92
-19	-142
-110	-96
-17	-143
-90	-100
-15	-143
-92	-106
-3	-156
-93	-114
-6	-164
-83	-126
-8	-172
-89	-134
-4	-187
-97	-141
-15	-193
-94	-151
-24	-195
-104	-154
-25	-206
-118	-160
-35	-205
-111	-163
-44	-204
-123	-158
-45	-200
-136	-154
-48	-201
-132	-156
-60	-193
-135	-148
-56	-192
-145	-139
-56	-185
-140	-138
-63	-175
-140	-128
-58	-170
-142	-115
-51	-161
-131	-113
-56	-148
-125	-106
-42	-148
-128	-96
-34	-146
-115	-98
-35	-138
-104	-95
-23	-139
-105	-94
-13	-142
-89	-100
-12	-144
-87	-108
-5	-156
-87	-116
1	-168
-88	-125
-9	-169
-85	-139
-11	-185
-95	-145
-12	-196
-100	-151
-27	-196
-104	-160
-32	-204
-115	-158
-30	-206
-120	-161
-47	-203
-120	-161
-48	-202
-130	-156
-47	-200
-136	-148
-58	-189
-130	-149
-60	-186
-139	-142
-55	-187
-145	-132
-62	-170
-134	-128
-59	-166
-141	-116
-50	-162
-138	-109
-50	-148
-121	-107
-46	-143
-121	-101
-33	-144
-121	-93
-29	-141
-101	-96
-26	-136
-101	-94
-14	-141
-99	-98
-7	-148
-83	-109
-10	-152
-83	-118
-2	-165
-89	-124
-5	-176
-85	-139
-14	-181
-95	-146
-14	-195
-104	-147
-19	-196
-102	-157
-33	-198
-110	-160
-33	-206
-126	-160
-37	-206
-120	-160
-52	-203
-129	-155
-49	-201
-141	-150
-50	-197
-134	-145
-60	-184
-136	-141
-56	-185
-147	-132
-55	-177
-138	-128
-64	-162
-132	-119
-54	-158
-135	-107
-45	-155
-129	-105
-49	-143
-116	-101
-37	-137
-119	-95
-24	-141
-107	-91
-27	-138
-95	-97
-16	-141
-94	-97
-4	-150
-90	-106
-10	-152
-81	-119
-6	-163
-87	-124
-3	-179
-91	-132
-15	-183
-90	-147
-18	-189
-99	-148
-17	-199
-109	-153
-30	-197
-108	-160
-39	-204
-117	-157
-38	-203
-128	-157
-47	-200
-122	-161
-55	-196
-136	-154
-52	-196
-141	-146
-57	-189
-131	-142
-62	-181
-138	-135
-56	-175
-139	-123
-56	-169
-133	-122
-61	-160
-132	-111
-48	-156
-133	-102
-41	-146
-115	-101
-43	-143
-111	-96
-30	-140
-111	-91
-21	-143
-95	-97
-19	-137
-90	-101
-8	-146
-94	-101
-2	-154
-82	-116
-7	-161
-82	-122
-5	-174
-93	-132
-8	-188
-89	-142
-20	-190
-94	-151
-21	-196
-103	-153
-23	-201
-109	-157
-42	-199
-110	-158
-38	-202
-127	-156
-40	-205
-128	-154
-57	-198
-132	-153
-58	-195
-137	-143
-52	-189
-138	-142
-63	-177
-129	-138
-60	-173
-139	-125
-53	-168
-137	-117
-58	-162
-128	-114
-56	-152
-125	-101
-41	-147
-124	-97
-44	-139
-109	-97
-34	-138
-108	-93
-21	-141
-104	-92
-17	-138
-87	-100
-15	-142
-89	-107
-1	-153
-87	-110
-4	-161
-76	-123
-10	-170
-86	-134
-7	-185
-96	-140
-19	-191
-94	-152
-27	-194
-102	-157
-24	-200
-112	-155
-35	-204
-112	-160
-45	-200
-122	-158
-42	-201
-131	-153
-50	-199
-129	-153
-61	-192
-132	-149
-57	-189
-141	-141
-58	-183
-135	-137
-64	-170
-134	-129
-58	-166
-137	-117
-51	-162
-132	-113
-55	-147
-123	-106
-47	-147
-122	-99
-35	-141
-116	-94
-34	-134
-107	-93
-26	-137
-102	-94
-14	-144
-89	-99
-18	-142
-83	-106
-9	-152
-83	-112
-1	-162
-82	-121
-11	-167
-81	-132
-12	-182
-93	-139
-12	-190
-96	-146
-25	-196
-95	-157
-28	-200
-110	-156
-30	-202
-116	-156
-40	-201
-115	-159
-50	-199
-127	-159
-47	-201
-137	-151
-60	-191
-129	-150
-60	-187
-134	-141
-57	-185
-143	-133
-60	-176
-132	-130
-63	-161
-134	-120
-55	-160
-136	-107
-53	-151
-123	-108
-53	-143
-120	-100
-37	-142
-119	-91
-31	-136
-103	-93
-31	-135
-97	-93
-20	-139
-99	-92
-10	-148
-86	-103
-14	-146
-82	-111
-3	-159
-82	-119
-4	-171
-80	-130
-16	-173
-84	-142
-15	-188
-97	-145
-15	-193
-98	-152
-31	-196
-100	-155
-35	-201
-116	-156
-36	-203
-122	-161
-49	-198
-118	-156
-51	-198
-131	-151
-51	-195
-134	-149
-63	-188
-130	-147
-63	-184
-136	-135
-58	-177
-137	-125
-63	-166
-128	-123
-59	-161
-133	-114
-51	-155
-130	-105
-52	-145
-115	-102
-43	-140
-113	-94
-30	-138
-111	-90
-32	-137
-94	-94
-26	-133
-90	-96
-16	-141
-93	-99
-9	-149
-76	-110
-9	-152
-79	-120
-4	-169
-88	-126
-11	-176
-79	-141
-18	-185
-92	-146
-19	-194
-103	-149
-24	-200
-101	-155
-37	-200
-111	-160
-36	-205
-121	-155
-42	-199
-118	-156
-53	-192
-125	-153
-55	-197
-136	-148
-55	-189
-134	-146
-62	-180
-129	-138
-56	-177
-137	-126
-57	-172
-133	-120
-64	-158
-129	-115
-52	-155
-133	-108
-46	-149
-123	-102
-52	-138
-113	-100
-38	-137
-112	-95
-26	-139
-100	-94
-25	-134
-88	-95
-17	-136
-87	-101
-8	-149
-84	-102
-9	-154
-74	-117
-4	-162
-82	-124
-3	-172
-87	-132
-15	-182
-82	-147
-22	-190
-96	-151
-20	-197
-107	-154
-33	-198
-104	-158
-41	-197
-116	-157
-39	-203
-122	-155
-48	-199
-120	-158
-59	-194
-130	-150
-56	-189
-136	-143
-58	-184
-132	-143
-66	-176
-135	-134
-58	-168
-139	-122
-59	-163
-127	-118
-60	-153
-125	-112
-50	-146
-129	-101
-40	-145
-115	-100
-45	-134
-108	-96
-32	-132
-107	-89
-23	-137
-92	-95
-23	-132
-84	-97
-11	-146
-85	-102
-2	-152
-79	-111
-10	-159
-75	-123
-5	-167
-84	-129
-8	-179
-89	-138
-21	-184
-85	-151
-23	-194
-99	-151
-23	-199
-108	-155
-40	-198
-106	-160
-43	-197
-117	-153
-42	-198
-124	-155
-53	-194
-125	-157
-59	-189
-129	-145
-58	-185
-136	-138
-63	-180
-128	-139
-64	-172
-131	-123
-56	-164
-137	-114
-58	-155
-123	-114
-59	-148
-120	-104
-45	-146
-123	-99
-40	-139
-107	-97
-40	-132
-102	-92
-25	-137
-100	-91
-22	-135
-86	-98
-19	-136
-83	-102
-10	-147
-83	-108
-3	-159
-75	-121
-12	-164
-76	-127
-9	-175
-85	-139
-11	-186
-89	-146
-24	-187
-89	-151
-28	-195
-105	-154
-27	-201
-107	-161
-41	-197
-113	-160
-47	-201
-120	-154
-45	-198
-125	-156
-59	-192
-122	-153
-57	-189
-132	-144
-58	-187
-133	-140
-66	-174
-127	-132
-61	-168
-131	-122
-54	-165
-133	-114
-60	-152
-121	-113
-52	-146
-120	-103
-41	-148
-116	-100
-43	-138
-101	-98
-34	-132
-98	-94
-23	-137
-94	-94
-19	-139
-82	-102
-16	-141
-80	-109
-6	-157
-83	-113
-8	-165
-71	-130
-13	-171
-79	-138
-12	-186
-93	-143
-16	-190
-86	-155
-31	-192
-99	-157
-31	-201
-107	-158
-36	-205
-109	-159
-49	-198
-113	-162
-48	-199
-125	-157
-53	-201
-126	-156
-64	-190
-128	-150
-62	-186
-135	-140
-59	-183
-133	-138
-68	-173
-127	-130
-64	-166
-132	-122
-56	-162
-125	-111
-61	-151
-116	-111
-51	-144
-112	-102
-40	-140
-109	-100
-42	-139
-97	-99
-29	-140
-96	-96
-18	-138
-90	-99
-16	-143
-77	-110
-12	-149
-82	-116
-7	-164
-81	-128
-14	-172
-76	-140
-16	-181
-84	-147
-16	-191
-93	-152
-28	-195
-92	-159
-37	-199
-105	-160
-34	-204
-113	-160
-48	-203
-111	-167
-54	-203
-120	-160
-55	-199
-128	-159
-63	-197
-124	-153
-69	-189
-131	-148
-64	-185
-137	-140
-68	-181
-129	-136
-70	-168
-130	-127
-62	-162
-129	-116
-57	-155
-117	-113
-58	-145
-114	-107
-47	-144
-114	-99
-39	-140
-105	-99
-38	-134
-93	-102
-28	-142
-91	-100
-18	-144
-85	-105
-20	-149
-74	-115
-9	-162
-80	-125
-10	-170
-80	-137
-23	-178
-83	-146
-22	-189
-93	-151
-19	-198
-98	-158
-39	-196
-98	-163
-44	-203
-112	-163
-46	-206
-118	-163
-58	-204
-115	-165
-59	-197
-126	-158
-63	-197
-129	-153
-69	-190
-126	-154
-72	-185
-132	-143
-66	-180
-135	-137
-69	-169
-128	-133
-69	-162
-128	-120
-59	-158
-126	-109
-55	-147
-113	-111
-55	-142
-109	-102
-41	-140
-113	-98
-37	-138
-90	-104
-33	-139
-91	-102
-24	-143
-91	-104
-15	-146
-75	-115
-18	-153
-73	-123
-13	-166
-85	-133
-14	-177
-78	-145
-26	-185
-83	-154
-26	-192
-96	-153
-27	-199
-98	-164
-46	-196
-104	-167
-47	-202
-115	-165
-50	-202
-115	-164
-62	-199
-119	-165
-62	-194
-130	-154
-60	-193
-129	-155
-72	-183
-124	-143
-69	-178
-134	-135
-66	-171
-129	-131
-72	-164
-123	-124
-65	-155
-126	-114
-57	-151
-118	-108
-59	-141
-110	-103
-48	-140
-105	-100
-37	-137
-98	-101
-37	-135
-88	-101
-29	-141
-87	-105
-15	-144
-78	-110
-19	-151
-70	-124
-17	-164
-78	-132
-16	-173
-84	-139
-24	-185
-83	-151
-28	-191
-94	-157
-34	-197
-104	-160
-39	-201
-100	-166
-48	-198
-108	-164
-51	-203
-116	-163
-59	-201
-120	-165
-68	-194
-124	-159
-64	-190
-131	-149
-66	-186
-126	-147
-76	-173
-128	-142
-70	-171
-132	-129
-67	-165
-127	-127
-71	-155
-124	-118
-59	-147
-119	-108
-51	-142
-109	-103
-53	-134
-100	-102
-45	-137
-100	-100
-32	-137
-92	-102
-31	-136
-82	-105
-22	-144
-79	-107
-13	-152
-75	-121
-19	-158
-68	-130
-20	-171
-80	-138
-18	-183
-81	-148
-31	-186
-86	-158
-32	-192
-95	-160
-38	-199
-103	-165
-48	-197
-103	-166
-53	-197
-112	-164
-56	-202
-119	-163
-63	-196
-121	-162
-72	-188
-126	-152
-69	-189
-131	-146
-70	-178
-124	-141
-75	-171
-125	-132
-68	-165
-130	-125
-67	-160
-118	-120
-68	-149
-117	-111
-57	-145
-114	-105
-52	-136
-102	-104
-48	-134
-97	-101
-35	-134
-97	-98
-29	-136
-83	-105
-30	-138
-78	-111
-18	-150
-77	-115
-13	-157
-70	-124
-21	-163
-71	-135
-21	-178
-81	-145
-23	-184
-85	-152
-35	-189
-90	-160
-40	-197
-101	-163
-41	-199
-103	-165
-52	-195
-105	-166
-56	-198
-117	-160
-56	-200
-123	-162
-71	-189
-118	-159
-68	-185
-130	-149
-67	-182
-129	-145
-76	-171
-122	-139
-71	-164
-127	-130
-66	-160
-126	-118
-67	-151
-114	-117
-58	-144
-112	-107
-48	-142
-107	-102
-50	-136
-97	-101
-43	-131
-94	-99
-31	-135
-87	-102
-29	-137
-75	-109
-25	-145
-74	-113
-16	-155
-75	-121
-17	-164
-67	-133
-22	-168
-76	-142
-23	-183
-82	-149
-30	-189
-84	-156
-40	-193
-94	-161
-42	-195
-103	-164
-49	-201
-104	-163
-59	-196
-109	-166
-59	-193
-118	-160
-66	-196
-118	-158
-75	-185
-119	-154
-70	-182
-127	-146
-66	-176
-124	-136
-77	-164
-122	-131
-73	-159
-126	-124
-64	-152
-121	-116
-68	-145
-109	-115
-59	-142
-109	-104
-49	-137
-100	-97
-47	-131
-92	-100
-38	-133
-84	-100
-27	-136
-80	-102
-27	-143
-73	-116
-22	-147
-73	-120
-15	-159
-74	-128
-17	-163
-69	-139
-25	-176
-79	-146
-27	-185
-84	-153
-34	-189
-83	-161
-44	-193
-99	-162
-45	-196
-105	-165
-55	-197
-108	-166
-62	-196
-112	-163
-61	-195
-123	-160
-67	-190
-119	-154
-75	-183
-125	-150
-72	-174
-130	-141
-71	-170
-122	-135
-76	-161
-122	-131
-71	-159
-125	-118
-65	-151
-112	-115
-66	-138
-108	-107
-55	-138
-105	-104
-41	-134
-93	-97
-42	-132
-86	-99
-34	-135
-83	-99
-22	-139
-75	-108
-23	-143
-66	-116
-18	-154
-69	-125
-12	-165
-71	-135
-24	-171
-69	-146
-30	-183
-82	-152
-31	-192
-85	-158
-41	-192
-88	-166
-48	-196
-99	-163
-50	-197
-103	-164
-59	-194
-106	-162
-67	-194
-117	-160
-62	-194
-122	-155
-70	-184
-116	-151
-74	-180
-124	-146
-73	-176
-124	-136
-75	-163
-119	-128
-75	-155
-121	-124
-68	-151
-118	-116
-61	-144
-108	-113
-61	-137
-104	-104
-49	-134
-102	-97
-42	-130
-86	-101
-39	-132
-80	-101
-29	-135
-77	-104
-23	-142
-70	-115
-23	-148
-68	-124
-18	-158
-71	-132
-20	-169
-71	-143
-29	-174
-75	-150
-28	-187
-83	-156
-35	-193
-92	-162
-47	-194
-93	-164
-49	-195
-104	-164
-51	-197
-108	-163
-64	-193
-109	-163
-64	-190
-119	-159
-68	-186
-122	-150
-73	-180
-119	-149
-76	-174
-126	-140
-74	-166
-124	-130
-74	-160
-118	-127
-71	-149
-117	-117
-63	-146
-115	-111
-63	-137
-104	-106
-55	-136
-101	-100
-43	-133
-95	-99
-41	-130
-81	-102
-34	-131
-79	-103
-21	-138
-73	-111
-22	-148
-69	-123
-23	-154
-68	-130
-18	-163
-74	-138
-26	-178
-71	-150
-32	-182
-79	-156
-36	-189
-91	-160
-41	-193
-93	-165
-54	-192
-100	-166
-54	-194
-105	-162
-59	-195
-105	-163
-68	-189
-115	-160
-70	-188
-120	-152
-70	-183
-119	-150
-78	-173
-123	-142
-74	-167
-124	-130
-72	-160
-116	-126
-72	-151
-115	-120
-68	-145
-113	-110
-57	-140
-107	-107
-60	-135
-96	-105
-50	-128
-94	-101
-40	-132
-86	-98
-36	-131
-75	-104
-28	-134
-73	-108
-19	-144
-67	-115
-21	-152
-63	-127
-21	-157
-69	-138
-21	-170
-73	-145
-28	-176
-75	-152
-36	-185
-83	-158
-37	-191
-94	-162
-52	-194
-93	-164
-55	-192
-104	-167
-58	-194
-112	-160
-63	-191
-110	-160
-73	-188
-119	-154
-68	-183
-124	-152
-73	-182
-120	-149
-79	-171
-120	-138
-72	-163
-122	-128
-71	-156
-117	-123
-72	-146
-110	-113
-65	-141
-112	-107
-59	-139
-104	-105
-55	-131
-94	-101
-43	-130
-91	-99
-37	-128
-80	-103
-35	-127
-72	-105
-26	-139
-69	-112
-19	-148
-67	-122
-21	-155
-65	-132
-21	-164
-70	-140
-23	-175
-76	-149
-32	-180
-76	-157
-37	-187
-88	-161
-42	-198
-94	-164
-53	-192
-97	-166
-56	-193
-104	-164
-58	-193
-114	-159
-66	-188
-112	-161
-72	-184
-120	-151
-70	-178
-122	-148
-77	-175
-117	-143
-75	-166
-120	-134
-72	-161
-120	-124
-69	-153
-112	-118
-73	-142
-106	-112
-60	-138
-107	-104
-53	-133
-97	-104
-53	-128
-90	-100
-40	-131
-88	-99
-32	-128
-74	-101
-34	-131
-67	-108
-19	-141
-69	-115
-18	-153
-64	-126
-24	-157
-64	-136
-22	-172
-75	-142
-27	-178
-77	-150
-38	-180
-80	-157
-40	-191
-91	-161
-48	-192
-95	-166
-59	-189
-98	-165
-59	-192
-107	-162
-60	-188
-110	-160
-72	-185
-115	-155
-72	-181
-119	-150
-70	-177
-121	-146
-78	-169
-114	-137
-74	-158
-119	-128
-71	-153
-116	-120
-70	-144
-106	-114
-62	-138
-107	-108
-57	-138
-104	-102
-53	-132
-87	-100
-46	-126
-83	-100
-34	-130
-80	-100
-32	-130
-64	-108
-27	-136
-68	-113
-21	-146
-65	-122
-22	-154
-60	-132
-26	-163
-66	-142
-28	-172
-74	-151
-30	-182
-75	-156
-41	-186
-83	-160
-43	-194
-94	-164
-50	-193
-97	-167
-62	-191
-102	-162
-62	-194
-113	-159
-64	-187
-112	-159
-74	-185
-112	-155
-76	-177
-117	-145
-73	-174
-119	-139
-76	-162
-115	-134
-73	-155
-115	-124
-67	-149
-111	-118
-68	-137
-104	-109
-59	-135
-100	-104
-52	-132
-95	-101
-49	-130
-84	-104
-43	-128
-78	-101
-29	-133
-74	-105
-29	-130
-63	-111
-26	-144
-66	-121
-18	-156
-65	-131
-21	-165
-63	-142
-29	-175
-71	-151
-31	-181
-79	-152
-36	-188
-78	-162
-46	-190
-88	-162
-46	-196
-97	-165
-55	-196
-99	-169
-64	-195
-105	-169
-65	-192
-114	-159
-71	-187
-113	-158
-76	-180
-116	-155
-73	-178
-121	-144
-78	-172
-115	-140
-77	-159
-115	-130
-71	-158
-115	-123
-65	-149
-108	-116
-69	-137
-101	-112
-58	-135
-100	-107
-50	-132
-90	-105
-44	-129
-79	-104
-39	-128
-76	-105
-28	-138
-70	-109
-27	-139
-60	-120
-25	-150
-64	-129
-19	-164
-65	-138
-27	-168
-67	-149
-30	-179
-74	-157
-30	-189
-82	-161
-44	-189
-85	-165
-53	-193
-94	-170
-54	-199
-105	-170
-59	-197
-102	-171
-70	-193
-110	-167
-70	-190
-116	-161
-76	-186
-113	-154
-80	-180
-119	-153
-78	-176
-118	-142
-77	-168
-115	-135
-79	-159
-116	-132
-72	-156
-115	-119
-69	-143
-107	-117
-66	-137
-102	-112
-56	-133
-98	-108
-50	-132
-88	-108
-50	-129
-81	-109
-38	-135
-81	-106
-30	-135
-75	-109
-27	-138
-73	-112
-26	-144
-73	-112
-17	-155
-81	-116
-15	-151
-76	-118
-19	-153
-54	-130
-38	-138
-49	-139
-47	-134
-45	-138
-46	-136
-50	-136
-44	-135
-46	-139
-49	-135
-46	-137
-43	-139
-51	-139
-49	-136
-49	-135
-43	-135
-47	-136
-47	-136
-45	-139
-45	-137
-49	-137
-47	-135
-48	-135
-45	-136
-46	-138
-47	-137
-49	-138
-44	-136
-46	-136
-45	-138
-50	-136
-47	-134
-49	-137
-45	-136
-45	-139
-46	-138
-50	-139
-47	-134
-47	-136
-42	-137
-45	-137
-46	-135
-48	-137
-47	-136
