SampleNo,X,Y,Pulse,Anomaly,NoFit,Drift
325,-18,59,0,0,0,0
326,-19,59,0,0,0,0
327,-18,59,0,0,0,0
328,-19,59,0,0,0,0
329,-18,60,0,0,0,0
330,-18,59,0,0,0,0
331,-18,59,0,0,0,0
332,-18,60,0,0,0,0
333,-18,60,0,0,0,0
334,-18,59,0,0,0,0
335,-18,59,0,0,0,0
336,-19,60,0,0,0,0
337,-18,60,0,0,0,0
338,-19,59,0,0,0,0
339,-18,60,0,0,0,0
340,-18,59,0,0,0,0
341,-18,60,0,0,0,0
342,-18,59,0,0,0,0
343,-18,60,0,0,0,0
344,-18,60,0,0,0,0
345,-18,60,0,0,0,0
346,-19,59,0,0,0,0
347,-18,60,0,0,0,0
348,-18,59,0,0,0,0
349,-19,60,0,0,0,0
350,-19,59,0,0,0,0
351,-18,60,0,0,0,0
352,-19,60,0,0,0,0
353,-18,59,0,0,0,0
354,-18,60,0,0,0,0
355,-19,60,0,0,0,0
356,-18,60,0,0,0,0
357,-18,60,0,0,0,0
358,-19,60,0,0,0,0
359,-18,60,0,0,0,0
360,-19,60,0,0,0,0
361,-19,60,0,0,0,0
362,-19,59,0,0,0,0
363,-18,60,0,0,0,0
364,-19,59,0,0,0,0
365,-18,60,0,0,0,0
366,-19,60,0,0,0,0
367,-18,60,0,0,0,0
368,-19,59,0,0,0,0
369,-18,60,0,0,0,0
370,-19,60,0,0,0,0
371,-19,60,0,0,0,0
372,-19,59,0,0,0,0
373,-18,60,0,0,0,0
374,-19,59,0,0,0,0
375,-19,60,0,0,0,0
376,-19,59,0,0,0,0
377,-18,60,0,0,0,0
378,-19,60,0,0,0,0
379,-19,60,0,0,0,0
380,-19,60,0,0,0,0
381,-18,60,0,0,0,0
382,-19,59,0,0,0,0
383,-18,60,0,0,0,0
384,-19,60,0,0,0,0
385,-19,60,0,0,0,0
386,-18,60,0,0,0,0
387,-19,60,0,0,0,0
388,-19,60,0,0,0,0
389,-18,60,0,0,0,0
390,-18,60,0,0,0,0
391,-18,60,0,0,0,0
392,-19,60,0,0,0,0
393,-18,60,0,0,0,0
394,-19,60,0,0,0,0
395,-19,60,0,0,0,0
396,-19,60,0,0,0,0
397,-19,60,0,0,0,0
398,-18,60,0,0,0,0
399,-19,60,0,0,0,0
400,-19,60,0,0,0,0
401,-18,60,0,0,0,0
402,-19,60,0,0,0,0
403,-18,60,0,0,0,0
404,-19,59,0,0,0,0
405,-19,60,0,0,0,0
406,-19,60,0,0,0,0
407,-19,59,0,0,0,0
408,-19,60,0,0,0,0
409,-19,60,0,0,0,0
410,-19,60,0,0,0,0
411,-18,60,0,0,0,0
412,-19,59,0,0,0,0
413,-19,60,0,0,0,0
414,-19,59,0,0,0,0
415,-18,60,0,0,0,0
416,-18,59,0,0,0,0
417,-18,60,0,0,0,0
418,-19,60,0,0,0,0
419,-19,60,0,0,0,0
420,-19,60,0,0,0,0
421,-18,60,0,0,0,0
422,-19,59,0,0,0,0
423,-18,59,0,0,0,0
424,-19,59,0,0,0,0
425,-19,60,0,0,0,0
426,-19,60,0,0,0,0
427,-19,59,0,0,0,0
428,-19,59,0,0,0,0
429,-19,60,0,0,0,0
430,-19,60,0,0,0,0
431,-19,60,0,0,0,0
432,-19,60,0,0,0,0
433,-19,60,0,0,0,0
434,-19,59,0,0,0,0
435,-18,60,0,0,0,0
436,-19,59,0,0,0,0
437,-18,60,0,0,0,0
438,-19,59,0,0,0,0
439,-18,59,0,0,0,0
440,-19,59,0,0,0,0
441,-18,59,0,0,0,0
442,-19,60,0,0,0,0
443,-19,60,0,0,0,0
444,-19,60,0,0,0,0
445,-18,60,0,0,0,0
446,-19,60,0,0,0,0
447,-18,60,0,0,0,0
448,-18,60,0,0,0,0
449,-18,60,0,0,0,0
450,-19,60,0,0,0,0
451,-18,60,0,0,0,0
452,-19,60,0,0,0,0
453,-18,60,0,0,0,0
454,-18,60,0,0,0,0
455,-18,60,0,0,0,0
456,-19,60,0,0,0,0
457,-19,60,0,0,0,0
458,-18,60,0,0,0,0
459,-18,60,0,0,0,0
460,-18,60,0,0,0,0
461,-19,60,0,0,0,0
462,-18,59,0,0,0,0
463,-18,60,0,0,0,0
464,-18,60,0,0,0,0
465,-18,60,0,0,0,0
466,-19,60,0,0,0,0
467,-18,60,0,0,0,0
468,-18,60,0,0,0,0
469,-18,60,0,0,0,0
470,-18,59,0,0,0,0
471,-18,59,0,0,0,0
472,-18,60,0,0,0,0
473,-18,60,0,0,0,0
474,-19,59,0,0,0,0
475,-18,59,0,0,0,0
476,-18,59,0,0,0,0
477,-18,59,0,0,0,0
478,-18,59,0,0,0,0
479,-18,60,0,0,0,0
480,-19,59,0,0,0,0
481,-18,59,0,0,0,0
482,-18,59,0,0,0,0
483,-19,59,0,0,0,0
484,-19,59,0,0,0,0
485,-18,59,0,0,0,0
486,-18,59,0,0,0,0
487,-19,59,0,0,0,0
488,-19,59,0,0,0,0
489,-19,59,0,0,0,0
490,-19,58,0,0,0,0
491,-19,59,0,0,0,0
492,-18,59,0,0,0,0
493,-18,59,0,0,0,0
494,-19,59,0,0,0,0
495,-19,59,0,0,0,0
496,-19,59,0,0,0,0
497,-19,59,0,0,0,0
498,-19,59,0,0,0,0
499,-19,59,0,0,0,0
500,-19,59,0,0,0,0
501,-19,59,0,0,0,0
502,-18,59,0,0,0,0
503,-19,59,0,0,0,0
504,-18,59,0,0,0,0
505,-18,59,0,0,0,0
506,-19,59,0,0,0,0
507,-19,59,0,0,0,0
508,-19,59,0,0,0,0
509,-19,59,0,0,0,0
510,-19,59,0,0,0,0
511,-18,59,0,0,0,0
512,-18,59,0,0,0,0
513,-18,59,0,0,0,0
514,-18,59,0,0,0,0
515,-19,59,0,0,0,0
516,-19,59,0,0,0,0
517,-18,59,0,0,0,0
518,-19,59,0,0,0,0
519,-18,59,0,0,0,0
520,-18,59,0,0,0,0
521,-18,59,0,0,0,0
522,-19,60,0,0,0,0
523,-19,59,0,0,0,0
524,-18,59,0,0,0,0
525,-18,59,0,0,0,0
526,-19,60,0,0,0,0
527,-18,60,0,0,0,0
528,-18,59,0,0,0,0
529,-18,60,0,0,0,0
530,-19,60,0,0,0,0
531,-18,60,0,0,0,0
532,-18,60,0,0,0,0
533,-18,60,0,0,0,0
534,-18,60,0,0,0,0
535,-18,60,0,0,0,0
536,-18,60,0,0,0,0
537,-17,60,0,0,0,0
538,-18,60,0,0,0,0
539,-18,60,0,0,0,0
540,-18,60,0,0,0,0
541,-18,60,0,0,0,0
542,-19,60,0,0,0,0
543,-18,60,0,0,0,0
544,-19,60,0,0,0,0
545,-18,60,0,0,0,0
546,-18,60,0,0,0,0
547,-18,60,0,0,0,0
548,-18,60,0,0,0,0
549,-18,60,0,0,0,0
550,-18,59,0,0,0,0
551,-18,60,0,0,0,0
552,-18,60,0,0,0,0
553,-18,60,0,0,0,0
554,-18,59,0,0,0,0
555,-18,59,0,0,0,0
556,-18,59,0,0,0,0
557,-18,60,0,0,0,0
558,-18,59,0,0,0,0
559,-18,60,0,0,0,0
560,-18,59,0,0,0,0
561,-18,60,0,0,0,0
562,-18,60,0,0,0,0
563,-18,60,0,0,0,0
564,-18,59,0,0,0,0
565,-18,60,0,0,0,0
566,-18,59,0,0,0,0
567,-18,60,0,0,0,0
568,-18,59,0,0,0,0
569,-18,60,0,0,0,0
570,-18,59,0,0,0,0
571,-18,59,0,0,0,0
572,-18,59,0,0,0,0
573,-18,59,0,0,0,0
574,-18,59,0,0,0,0
575,-18,60,0,0,0,0
576,-18,59,0,0,0,0
577,-18,60,0,0,0,0
578,-18,59,0,0,0,0
579,-18,60,0,0,0,0
580,-18,59,0,0,0,0
581,-17,60,0,0,0,0
582,-18,59,0,0,0,0
583,-18,60,0,0,0,0
584,-18,59,0,0,0,0
585,-18,59,0,0,0,0
586,-18,59,0,0,0,0
587,-18,60,0,0,0,0
588,-18,59,0,0,0,0
589,-18,60,0,0,0,0
590,-18,59,0,0,0,0
591,-18,59,0,0,0,0
592,-18,59,0,0,0,0
593,-18,60,0,0,0,0
594,-18,59,0,0,0,0
595,-18,60,0,0,0,0
596,-18,59,0,0,0,0
597,-18,59,0,0,0,0
598,-18,59,0,0,0,0
599,-18,60,0,0,0,0
600,-18,59,0,0,0,0
601,-18,59,0,0,0,0
602,-18,59,0,0,0,0
603,-18,60,0,0,0,0
604,-18,59,0,0,0,0
605,-18,59,0,0,0,0
606,-18,59,0,0,0,0
607,-18,59,0,0,0,0
608,-18,59,0,0,0,0
609,-18,60,0,0,0,0
610,-18,59,0,0,0,0
611,-18,59,0,0,0,0
612,-18,59,0,0,0,0
613,-18,59,0,0,0,0
614,-18,59,0,0,0,0
615,-18,60,0,0,0,0
616,-18,59,0,0,0,0
617,-18,59,0,0,0,0
618,-18,59,0,0,0,0
619,-18,60,0,0,0,0
620,-18,59,0,0,0,0
621,-18,59,0,0,0,0
622,-18,59,0,0,0,0
623,-18,60,0,0,0,0
624,-18,59,0,0,0,0
625,-18,60,0,0,0,0
626,-18,59,0,0,0,0
627,-18,59,0,0,0,0
628,-18,59,0,0,0,0
629,-18,59,0,0,0,0
630,-18,59,0,0,0,0
631,-18,58,0,0,0,0
632,-18,58,0,0,0,0
633,-18,58,0,0,0,0
634,-18,58,0,0,0,0
635,-18,58,0,0,0,0
636,-19,57,0,0,0,0
637,-18,58,0,0,0,0
638,-19,57,0,0,0,0
639,-19,57,0,0,0,0
640,-19,57,0,0,0,0
641,-19,57,0,0,0,0
642,-20,56,0,0,0,0
643,-20,57,0,0,0,0
644,-21,56,0,0,0,0
645,-21,56,0,0,0,0
646,-21,56,0,0,0,0
647,-21,56,0,0,0,0
648,-21,55,0,0,0,0
649,-22,56,0,0,0,0
650,-22,55,0,0,0,0
651,-21,55,0,0,0,0
652,-22,55,0,0,0,0
653,-22,55,0,0,0,0
654,-22,54,0,0,0,0
655,-23,55,0,0,0,0
656,-23,54,0,0,0,0
657,-23,55,0,0,0,0
658,-23,55,0,0,0,0
659,-23,55,0,0,0,0
660,-23,54,0,0,0,0
661,-23,55,0,0,0,0
662,-22,54,0,0,0,0
663,-23,55,0,0,0,0
664,-23,54,0,0,0,0
665,-23,55,0,0,0,0
666,-22,55,0,0,0,0
667,-22,55,0,0,0,0
668,-22,55,0,0,0,0
669,-22,55,0,0,0,0
670,-21,55,0,0,0,0
671,-21,55,0,0,0,0
672,-21,55,0,0,0,0
673,-20,56,0,0,0,0
674,-20,55,0,0,0,0
675,-20,56,0,0,0,0
676,-20,55,0,0,0,0
677,-19,56,0,0,0,0
678,-19,55,0,0,0,0
679,-18,56,0,0,0,0
680,-18,57,0,0,0,0
681,-18,56,0,0,0,0
682,-17,56,0,0,0,0
683,-17,57,0,0,0,0
684,-17,57,0,0,0,0
685,-16,57,0,0,0,0
686,-16,56,0,0,0,0
687,-16,57,0,0,0,0
688,-15,56,0,0,0,0
689,-16,56,0,0,0,0
690,-15,57,0,0,0,0
691,-15,57,0,0,0,0
692,-14,56,0,0,0,0
693,-15,56,0,0,0,0
694,-14,57,0,0,0,0
695,-14,56,0,0,0,0
696,-13,56,0,0,0,0
697,-13,56,0,0,0,0
698,-13,55,0,0,0,0
699,-12,56,0,0,0,0
700,-12,56,0,0,0,0
701,-11,56,0,0,0,0
702,-11,55,0,0,0,0
703,-10,56,0,0,0,0
704,-10,56,0,0,0,0
705,-10,56,0,0,0,0
706,-9,56,0,0,0,0
707,-9,56,0,0,0,0
708,-7,56,0,0,0,0
709,-7,56,0,0,0,0
710,-7,57,0,0,0,0
711,-6,56,0,0,0,0
712,-5,56,0,0,0,0
713,-5,57,0,0,0,0
714,-3,57,0,0,0,0
715,-4,57,0,0,0,0
716,-2,57,0,0,0,0
717,-2,57,0,0,0,0
718,0,57,0,0,0,0
719,0,58,0,0,0,0
720,1,57,0,0,0,0
721,2,58,0,0,0,0
722,3,58,0,0,0,0
723,3,59,0,0,0,0
724,3,58,0,0,0,0
725,4,59,0,0,0,0
726,4,59,0,0,0,0
727,5,59,0,0,0,0
728,6,59,0,0,0,0
729,6,59,0,0,0,0
730,7,59,0,0,0,0
731,7,59,0,0,0,0
732,8,60,0,0,0,0
733,8,60,0,0,0,0
734,9,60,0,0,0,0
735,9,60,0,0,0,0
736,9,60,0,0,0,0
737,9,61,0,0,0,0
738,10,61,0,0,0,0
739,10,61,0,0,0,0
740,11,61,0,0,0,0
741,11,62,0,0,0,0
742,12,61,0,0,0,0
743,11,62,0,0,0,0
744,12,62,0,0,0,0
745,12,62,0,0,0,0
746,12,63,0,0,0,0
747,12,63,0,0,0,0
748,13,63,0,0,0,0
749,13,63,0,0,0,0
750,14,63,0,0,0,0
751,14,63,0,0,0,0
752,14,63,0,0,0,0
753,14,63,0,0,0,0
754,15,64,0,0,0,0
755,15,63,0,0,0,0
756,15,64,0,0,0,0
757,16,63,0,0,0,0
758,17,63,0,0,0,0
759,16,63,0,0,0,0
760,17,63,0,0,0,0
761,17,63,0,0,0,0
762,17,62,0,0,0,0
763,16,63,0,0,0,0
764,17,62,0,0,0,0
765,17,62,0,0,0,0
766,18,61,0,0,0,0
767,18,62,0,0,0,0
768,18,61,0,0,0,0
769,17,62,0,0,0,0
770,18,60,0,0,0,0
771,18,61,0,0,0,0
772,18,60,0,0,0,0
773,17,60,0,0,0,0
774,17,59,0,0,0,0
775,17,60,0,0,0,0
776,17,59,0,0,0,0
777,16,59,0,0,0,0
778,17,59,0,0,0,0
779,16,59,0,0,0,0
780,16,58,0,0,0,0
781,16,59,0,0,0,0
782,16,58,0,0,0,0
783,16,58,0,0,0,0
784,16,58,0,0,0,0
785,15,58,0,0,0,0
786,15,58,0,0,0,0
787,14,58,0,0,0,0
788,14,58,0,0,0,0
789,13,57,0,0,0,0
790,14,57,0,0,0,0
791,13,58,0,0,0,0
792,13,57,0,0,0,0
793,13,57,0,0,0,0
794,13,56,0,0,0,0
795,12,57,0,0,0,0
796,12,57,0,0,0,0
797,11,57,0,0,0,0
798,12,57,0,0,0,0
799,11,57,0,0,0,0
800,12,57,0,0,0,0
801,11,57,0,0,0,0
802,11,56,0,0,0,0
803,11,56,0,0,0,0
804,11,56,0,0,0,0
805,11,56,0,0,0,0
806,11,56,0,0,0,0
807,10,56,0,0,0,0
808,10,55,0,0,0,0
809,9,56,0,0,0,0
810,9,55,0,0,0,0
811,9,56,0,0,0,0
812,9,56,0,0,0,0
813,8,56,0,0,0,0
814,8,55,0,0,0,0
815,7,56,0,0,0,0
816,8,55,0,0,0,0
817,7,56,0,0,0,0
818,7,56,1,0,0,0
819,6,56,0,0,0,0
820,7,56,0,0,0,0
821,6,56,0,0,0,0
822,6,56,0,0,0,0
823,5,56,0,0,0,0
824,6,56,0,0,0,0
825,5,56,0,0,0,0
826,6,56,0,0,0,0
827,5,56,0,0,0,0
828,6,56,0,0,0,0
829,5,56,0,0,0,0
830,5,56,0,0,0,0
831,5,56,0,0,0,0
832,6,56,0,0,0,0
833,5,56,0,0,0,0
834,6,56,0,0,0,0
835,6,56,0,0,0,0
836,6,56,0,0,0,0
837,6,56,0,0,0,0
838,7,56,0,0,0,0
839,6,56,0,0,0,0
840,7,55,0,0,0,0
841,7,56,0,0,0,0
842,7,55,0,0,0,0
843,7,56,0,0,0,0
844,7,55,0,0,0,0
845,7,56,0,0,0,0
846,7,55,0,0,0,0
847,6,56,0,0,0,0
848,7,55,0,0,0,0
849,6,55,0,0,0,0
850,6,55,0,0,0,0
851,7,55,0,0,0,0
852,7,55,0,0,0,0
853,6,55,0,0,0,0
854,7,55,0,0,0,0
855,6,54,0,0,0,0
856,7,54,0,0,0,0
857,7,55,0,0,0,0
858,7,53,0,0,0,0
859,7,54,0,0,0,0
860,7,53,0,0,0,0
861,7,54,0,0,0,0
862,8,53,0,0,0,0
863,8,53,0,0,0,0
864,8,54,0,0,0,0
865,8,54,0,0,0,0
866,9,54,0,0,0,0
867,9,54,0,0,1,0
868,10,55,0,0,0,0
869,10,55,0,0,0,0
870,11,54,0,0,0,0
871,11,55,0,0,0,0
872,12,55,0,0,0,0
873,12,55,0,0,0,0
874,14,55,0,0,0,0
875,13,56,0,0,0,0
876,14,56,0,0,0,0
877,14,57,0,0,0,0
878,14,56,0,0,0,0
879,14,56,0,0,0,0
880,15,57,0,0,0,0
881,14,57,0,0,0,0
882,16,57,0,0,0,0
883,16,58,0,0,0,0
884,20,58,0,0,0,0
885,23,57,0,0,0,0
886,27,57,0,0,0,0
887,30,59,0,0,0,0
888,35,59,0,0,0,0
889,39,60,0,0,0,0
890,42,61,0,0,0,0
891,41,61,0,0,0,0
892,42,61,0,0,0,0
893,42,61,0,0,0,0
894,43,61,0,0,0,0
895,42,61,0,0,0,0
896,43,60,0,0,0,0
897,43,61,0,0,0,0
898,43,60,0,0,0,0
899,42,60,0,0,0,0
900,43,60,0,0,0,0
901,43,59,0,0,0,0
902,44,59,0,0,0,0
903,43,60,0,0,0,0
904,43,60,0,0,0,0
905,43,60,0,0,0,0
906,43,60,0,0,0,0
907,43,60,0,0,0,0
908,43,60,0,0,0,0
909,42,60,0,0,0,0
910,43,60,0,0,0,0
911,42,60,0,0,0,0
912,43,60,0,0,0,0
913,42,60,0,0,0,0
914,42,60,0,0,0,0
915,42,60,0,0,0,0
916,43,60,0,0,0,0
917,42,60,0,0,0,0
918,42,60,0,0,0,0
919,41,60,0,0,0,0
920,43,60,0,0,0,0
921,42,60,0,0,0,0
922,43,60,0,0,0,0
923,42,60,0,0,0,0
924,43,60,0,0,0,0
925,42,60,0,0,0,0
926,43,60,0,0,0,0
927,43,60,0,0,0,0
928,43,61,0,0,0,0
929,42,60,0,0,0,0
930,43,60,0,0,0,0
931,42,61,0,0,0,0
932,43,60,0,0,0,0
933,42,61,0,0,0,0
934,43,60,0,0,0,0
935,42,60,0,0,0,0
936,43,60,0,0,0,0
937,42,60,0,0,0,0
938,43,60,0,0,0,0
939,42,60,0,0,0,0
940,43,61,0,0,0,0
941,42,61,0,0,0,0
942,42,60,0,0,0,0
943,42,61,0,0,0,0
